address,district,area,bedrooms,garage,type,rent,total,area_z,bedrooms_z,garage_z,standard_score,high_standard,standard_score_type,high_standard_type
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939,-0.8632404549117156,-1.0421968680895024,-0.9385440628021179,-2.843981385803336,0,-1.704674142558171,0
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,-0.9443176062495994,-1.0421968680895024,-0.05536504964913233,-2.0418795239882344,0,-0.20180017773484904,0
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,-0.9037790305806576,-1.0421968680895024,-0.9385440628021179,-2.884519961472278,0,-3.477777282862614,0
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,-0.3902904054407269,0.03257732861801848,0.8278139635038533,0.47010088668114486,0,-0.37260116090430917,0
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,-0.8902661720243435,-1.0421968680895024,-0.9385440628021179,-2.871007102915964,0,-1.9220404701913225,0
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,-0.4713675567786107,0.03257732861801848,-0.05536504964913233,-0.49415527780972457,0,-0.4773951847801889,0
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187,-0.17408466853970347,0.03257732861801848,-0.05536504964913233,-0.19687238957081732,0,-0.04449141056249601,0
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,-0.7956761621301458,-1.0421968680895024,-0.9385440628021179,-2.776417093021766,0,-1.161258323475292,0
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,-0.7145990107922621,0.03257732861801848,-0.9385440628021179,-1.6205657449763615,0,-1.94775762115649,0
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,-0.6605475765670061,-1.0421968680895024,-0.9385440628021179,-2.6412885074586265,0,-3.1235832857754104,0
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,-0.29570039554652916,0.03257732861801848,-0.9385440628021179,-1.2016671297306285,0,-1.3377568483951956,0
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,-0.687573293679634,-1.0421968680895024,-0.9385440628021179,-2.6683142245712546,0,-3.1629381743406553,0
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,-0.7145990107922621,-1.0421968680895024,-0.9385440628021179,-2.6953399416838826,0,-0.5091593405758374,0
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,-0.4713675567786107,1.1073515253255395,-0.9385440628021179,-0.30256009425518904,0,-0.8650020784117471,0
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768,-0.20111038565233139,0.03257732861801848,-0.05536504964913233,-0.22389810668344523,0,-1.313284483706386,0
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,-0.13354609287076158,0.03257732861801848,-0.9385440628021179,-1.039512827054861,0,-1.9077920739290928,0
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,-0.2821875369902152,0.03257732861801848,-0.9385440628021179,-1.1881542711743145,0,-1.3180794041125732,0
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,-0.7686504450175179,-1.0421968680895024,-0.9385440628021179,-2.749391375909138,0,-0.9438919958421406,0
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538,-0.74162472790489,-1.0421968680895024,-0.05536504964913233,-1.8391866456435246,0,-2.6155152174396816,0
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,-0.7145990107922621,-1.0421968680895024,-0.9385440628021179,-2.6953399416838826,0,-3.2022930629059,0
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,-0.6605475765670061,-1.0421968680895024,-0.9385440628021179,-2.6412885074586265,0,-3.1235832857754104,0
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,-0.74162472790489,-1.0421968680895024,-0.9385440628021179,-2.72236565879651,0,-3.241647951471145,0
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,-0.3092132541028431,0.03257732861801848,-0.05536504964913233,-0.332000975133957,0,-0.24126585338872003,0
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,-0.6064961423417503,0.03257732861801848,-0.05536504964913233,-0.6292838633728642,0,-0.6741696276064129,0
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,-0.4173161225533548,0.03257732861801848,-0.05536504964913233,-0.44010384358446863,0,-0.39868540764969923,0
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018,-0.29570039554652916,1.1073515253255395,-0.05536504964913233,0.756286080129878,0,1.0329470326433126,0
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958,-0.349751829771785,1.1073515253255395,-0.05536504964913233,0.7022346459046221,0,0.9542372555128229,0
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,-0.8091890206864598,-1.0421968680895024,-0.9385440628021179,-2.78992995157808,0,-1.269941487291868,0
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,-0.4173161225533548,0.03257732861801848,-0.9385440628021179,-1.3232828567374542,0,-1.5148538469387973,0
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594,-0.3092132541028431,0.03257732861801848,-0.9385440628021179,-1.2151799882869425,0,-2.035587903771386,0
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,-0.06598180008919176,-1.0421968680895024,-0.9385440628021179,-2.0467227309808123,0,-2.257775737340025,0
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245,-0.8227018792427737,-1.0421968680895024,-0.9385440628021179,-2.8034428101343942,0,-3.3597126171668794,0
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771,0.20427537103708754,1.1073515253255395,0.8278139635038533,2.1394408598664802,0,0.5343015980025809,0
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955,-0.4983932738912386,0.03257732861801848,-0.05536504964913233,-0.5211809949223525,0,-0.5167500733454337,0
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153,-0.6740604351233201,-1.0421968680895024,-0.9385440628021179,-2.6548013660149405,0,-0.18310984912611006,0
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249,-0.7145990107922621,-1.0421968680895024,-0.9385440628021179,-2.6953399416838826,0,-3.2022930629059,0
Rua Cônego Vicente Miguel Marino,Barra Funda,33,1,0,Apartamento,2200,2624,-0.7010861522359481,-1.0421968680895024,-0.9385440628021179,-2.6818270831275686,0,-3.182615618623278,0
Rua Salvador Gaeta,Vila Augusta,68,2,2,Casa,2426,2574,-0.22813610276495933,0.03257732861801848,0.8278139635038533,0.6322551893569124,0,-0.6892855481354574,0
Rua Casa do Ator,Vila Olímpia,69,2,1,Apartamento,2910,3970,-0.21462324420864537,0.03257732861801848,-0.05536504964913233,-0.23741096523975921,0,-0.10352374341036322,0
Av.nove de Julho,Bela Vista,25,1,0,Apartamento,2500,3008,-0.8091890206864598,-1.0421968680895024,-0.9385440628021179,-2.78992995157808,0,-3.3400351728842574,0
Rua Joaquim Afonso de Souza,Vila Celeste,110,2,0,Casa,1300,1355,0.33940395660022715,0.03257732861801848,-0.9385440628021179,-0.5665627775838722,0,-1.5637263781998403,0
Rua Glória do Goitá 335 Apt 112,Jardim Independência,29,1,0,Studio e kitnet,1180,1411,-0.7551375864612039,-1.0421968680895024,-0.9385440628021179,-2.735878517352824,0,-0.8352088320255647,0
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712,-0.5524447081164945,0.03257732861801848,-0.9385440628021179,-1.4584114423005938,0,-1.7116282897650212,0
